inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
1331339,16,M,Cursando,1,1,0,0,0,1,B,5,2994.00 até 3992.00,588.8,556.6,539.8,676.3,620.0,SP,CARAGUATATUBA,3510500
3728983,17,F,Cursando,2,0,0,0,0,1,B,4,<= 998.00,,334.4,499.1,,0.0,GO,PIRACANJUBA,5217104
3387980,22,M,Concluído,1,0,0,0,0,1,A,3,1996.00 até 2495.00,425.4,549.9,484.4,585.4,520.0,ES,SERRA,3205002
3133199,21,M,Concluído,1,0,0,0,0,1,B,6,1497.00 até 1996.00,381.0,499.8,579.4,396.1,760.0,GO,CATALÃO,5205109
1695400,28,M,Concluído,1,0,0,0,0,1,B,2,<= 998.00,481.9,566.6,552.6,613.5,520.0,RN,PARNAMIRIM,2403251
516133,30,M,Concluído,1,0,0,0,0,1,B,4,4990.00 até 5988.00,,,,,,RJ,SÃO GONÇALO,3304904
5019531,17,M,Cursando,3,0,0,0,0,1,B,5,>= 19960.00,610.7,459.5,546.6,712.6,720.0,GO,GOIÂNIA,5208707
3761218,18,F,Concluído,1,0,0,0,0,1,B,2,<= 998.00,437.6,429.4,523.3,400.2,320.0,SP,SÃO PAULO,3550308
3737327,29,F,Concluído,1,0,0,0,0,1,A,1,998.00 até 1497.00,,346.9,392.5,,620.0,SP,SÃO PAULO,3550308
850598,18,M,Cursando,2,0,0,0,0,1,B,3,1497.00 até 1996.00,463.9,572.6,557.8,475.0,560.0,PR,WENCESLAU BRAZ,4128500
2207246,17,M,Cursando,2,0,0,0,0,1,B,3,2495.00 até 2994.00,399.9,465.1,375.9,386.6,0.0,AM,NOVA OLINDA DO NORTE,1303106
2889068,28,F,Concluído,1,0,0,0,0,1,B,5,3992.00 até 4990.00,462.9,588.8,593.5,582.5,760.0,SE,LAGARTO,2803500
2124294,17,F,Cursando,2,0,0,0,0,1,B,4,<= 998.00,553.0,575.8,496.2,665.7,840.0,ES,AFONSO CLÁUDIO,3200102
4305956,19,M,Concluído,1,0,0,0,0,1,B,3,2994.00 até 3992.00,394.4,490.9,532.7,618.2,800.0,PR,GUARAPUAVA,4109401
